Id	FunctionName	Annotation
hsa00140	Steroid_hormone_biosynthesis	CYP7A1
hsa00140	Steroid_hormone_biosynthesis	CYP7B1
hsa00140	Steroid_hormone_biosynthesis	HSD11B1
hsa00140	Steroid_hormone_biosynthesis	HSD11B1L
hsa00140	Steroid_hormone_biosynthesis	HSD11B2
hsa00140	Steroid_hormone_biosynthesis	HSD17B1
hsa00140	Steroid_hormone_biosynthesis	HSD17B12
hsa00140	Steroid_hormone_biosynthesis	HSD17B2
hsa00140	Steroid_hormone_biosynthesis	HSD17B3
hsa00140	Steroid_hormone_biosynthesis	HSD17B6
hsa00140	Steroid_hormone_biosynthesis	HSD17B7
hsa00140	Steroid_hormone_biosynthesis	HSD17B8
hsa00140	Steroid_hormone_biosynthesis	HSD3B1
hsa00140	Steroid_hormone_biosynthesis	HSD3B2
hsa00140	Steroid_hormone_biosynthesis	LRTOMT
hsa00140	Steroid_hormone_biosynthesis	SRD5A1
hsa00140	Steroid_hormone_biosynthesis	SRD5A3
hsa00140	Steroid_hormone_biosynthesis	SULT1E1
hsa00140	Steroid_hormone_biosynthesis	SULT2B1
hsa00140	Steroid_hormone_biosynthesis	UGT2A3
hsa00140	Steroid_hormone_biosynthesis	UGT2B10
hsa00140	Steroid_hormone_biosynthesis	UGT2B11
hsa00140	Steroid_hormone_biosynthesis	UGT2B15
hsa00140	Steroid_hormone_biosynthesis	UGT2B17
hsa00140	Steroid_hormone_biosynthesis	UGT2B28
hsa00140	Steroid_hormone_biosynthesis	UGT2B4
hsa00140	Steroid_hormone_biosynthesis	UGT2B7
hsa00190	Oxidative_phosphorylation	ATP12A
hsa00190	Oxidative_phosphorylation	ATP4A
hsa00190	Oxidative_phosphorylation	ATP4B
hsa00190	Oxidative_phosphorylation	ATP5A1
hsa00190	Oxidative_phosphorylation	ATP5B
hsa00190	Oxidative_phosphorylation	ATP5C1
hsa00190	Oxidative_phosphorylation	ATP5D
hsa00190	Oxidative_phosphorylation	ATP5E
hsa00190	Oxidative_phosphorylation	ATP5F1
hsa00190	Oxidative_phosphorylation	ATP5G1
hsa00190	Oxidative_phosphorylation	ATP5G2
hsa00190	Oxidative_phosphorylation	ATP5G3
hsa00190	Oxidative_phosphorylation	ATP5H
hsa00190	Oxidative_phosphorylation	ATP5I
hsa00190	Oxidative_phosphorylation	ATP5J
hsa00190	Oxidative_phosphorylation	ATP5J2
hsa00190	Oxidative_phosphorylation	ATP5L
hsa00190	Oxidative_phosphorylation	ATP5O
hsa00190	Oxidative_phosphorylation	ATP6V0A1
hsa00190	Oxidative_phosphorylation	ATP6V0A2
hsa00190	Oxidative_phosphorylation	ATP6V0A4
hsa00190	Oxidative_phosphorylation	ATP6V0B
hsa00190	Oxidative_phosphorylation	ATP6V0C
hsa00190	Oxidative_phosphorylation	ATP6V0D1
hsa00190	Oxidative_phosphorylation	ATP6V0D2
hsa00190	Oxidative_phosphorylation	ATP6V0E1
hsa00190	Oxidative_phosphorylation	ATP6V0E2
hsa00190	Oxidative_phosphorylation	ATP6V1A
hsa00190	Oxidative_phosphorylation	ATP6V1B1
hsa00190	Oxidative_phosphorylation	ATP6V1B2
hsa00190	Oxidative_phosphorylation	ATP6V1C1
hsa00190	Oxidative_phosphorylation	ATP6V1C2
hsa00190	Oxidative_phosphorylation	ATP6V1D
hsa00190	Oxidative_phosphorylation	ATP6V1E1
hsa00190	Oxidative_phosphorylation	ATP6V1E2
hsa00190	Oxidative_phosphorylation	ATP6V1F
hsa00190	Oxidative_phosphorylation	ATP6V1G1
hsa00190	Oxidative_phosphorylation	ATP6V1G2
hsa00190	Oxidative_phosphorylation	ATP6V1G3
hsa00190	Oxidative_phosphorylation	ATP6V1H
hsa00190	Oxidative_phosphorylation	COX10
hsa00190	Oxidative_phosphorylation	COX11
hsa00190	Oxidative_phosphorylation	COX15
hsa00190	Oxidative_phosphorylation	COX17
hsa00190	Oxidative_phosphorylation	COX4I1
hsa00190	Oxidative_phosphorylation	COX4I2
hsa00190	Oxidative_phosphorylation	COX5A
hsa00190	Oxidative_phosphorylation	COX5B
hsa00190	Oxidative_phosphorylation	COX6A1
hsa00190	Oxidative_phosphorylation	COX6A2
hsa00190	Oxidative_phosphorylation	COX6B1
hsa00190	Oxidative_phosphorylation	COX6B2
hsa00190	Oxidative_phosphorylation	COX6C
hsa00190	Oxidative_phosphorylation	COX7A1
hsa00190	Oxidative_phosphorylation	COX7A2
hsa00190	Oxidative_phosphorylation	COX7A2L
hsa00190	Oxidative_phosphorylation	COX7B2
hsa00190	Oxidative_phosphorylation	COX7C
hsa00190	Oxidative_phosphorylation	COX8A
hsa00190	Oxidative_phosphorylation	COX8C
hsa00190	Oxidative_phosphorylation	CYC1
hsa00190	Oxidative_phosphorylation	LHPP
hsa00190	Oxidative_phosphorylation	NDUFA10
hsa00190	Oxidative_phosphorylation	NDUFA11
hsa00190	Oxidative_phosphorylation	NDUFA12
hsa00190	Oxidative_phosphorylation	NDUFA13
hsa00190	Oxidative_phosphorylation	NDUFA2
hsa00190	Oxidative_phosphorylation	NDUFA3
hsa00190	Oxidative_phosphorylation	NDUFA4
hsa00190	Oxidative_phosphorylation	NDUFA4L2
hsa00190	Oxidative_phosphorylation	NDUFA5
hsa00190	Oxidative_phosphorylation	NDUFA6
hsa00190	Oxidative_phosphorylation	NDUFA7
hsa00190	Oxidative_phosphorylation	NDUFA8
hsa00190	Oxidative_phosphorylation	NDUFA9
hsa00190	Oxidative_phosphorylation	NDUFAB1
hsa00190	Oxidative_phosphorylation	NDUFB1
hsa00190	Oxidative_phosphorylation	NDUFB10
hsa00190	Oxidative_phosphorylation	NDUFB2
hsa00190	Oxidative_phosphorylation	NDUFB3
hsa00190	Oxidative_phosphorylation	NDUFB4
hsa00190	Oxidative_phosphorylation	NDUFB5
hsa00190	Oxidative_phosphorylation	NDUFB6
hsa00190	Oxidative_phosphorylation	NDUFB7
hsa00190	Oxidative_phosphorylation	NDUFB8
hsa00190	Oxidative_phosphorylation	NDUFB9
hsa00190	Oxidative_phosphorylation	NDUFC1
hsa00190	Oxidative_phosphorylation	NDUFC2
hsa00190	Oxidative_phosphorylation	NDUFS1
hsa00190	Oxidative_phosphorylation	NDUFS2
hsa00190	Oxidative_phosphorylation	NDUFS3
hsa00190	Oxidative_phosphorylation	NDUFS4
hsa00190	Oxidative_phosphorylation	NDUFS5
hsa00190	Oxidative_phosphorylation	NDUFS6
hsa00190	Oxidative_phosphorylation	NDUFS7
hsa00190	Oxidative_phosphorylation	NDUFS8
hsa00190	Oxidative_phosphorylation	NDUFV1
hsa00190	Oxidative_phosphorylation	NDUFV2
hsa00190	Oxidative_phosphorylation	NDUFV3
hsa00190	Oxidative_phosphorylation	PPA1
hsa00190	Oxidative_phosphorylation	PPA2
hsa00190	Oxidative_phosphorylation	SDHA
hsa00190	Oxidative_phosphorylation	SDHB
hsa00190	Oxidative_phosphorylation	SDHC
